"Country","Deaths/1M","Top_Deaths","Tests/1M","Top_Tests"
"Afghanistan","35","91","2,565.00","180","Afghanistan"
"Albania","83","57","17,089.00","133","Albania"
"Algeria","32","95","0","196","Algeria"
"Andorra","686","4","1,778,642.00","1","Andorra"
"Angola","3","168","1,962.00","182","Angola"
"Anguilla","0","190","44,072.00","97","Anguilla"
"Antigua and Barbuda","31","96","17,727.00","132","Antigua and Barbuda"
"Argentina","144","40","22,783.00","127","Argentina"
"Armenia","282","21","64,291.00","72","Armenia"
"Aruba","56","75","165,395.00","30","Aruba"
"Australia","18","113","215,645.00","22","Australia"
"Austria","81","58","117,760.00","44","Austria"
"Azerbaijan","50","79","84,301.00","59","Azerbaijan"
"Bahamas","58","74","21,457.00","128","Bahamas"
"Bahrain","105","51","592,064.00","8","Bahrain"
"Bangladesh","23","106","8,535.00","156","Bangladesh"
"Barbados","24","103","52,285.00","85","Barbados"
"Belarus","66","66","152,093.00","33","Belarus"
"Belgium","860","2","176,773.00","27","Belgium"
"Belize","13","129","14,030.00","140","Belize"
"Benin","3","168","8,801.00","155","Benin"
"Bermuda","145","39","581,621.00","9","Bermuda"
"Bhutan","0","190","86,488.00","57","Bhutan"
"Bolivia","362","16","19,005.00","130","Bolivia"
"Bosnia and Herzegovina","157","37","51,515.00","87","Bosnia and Herzegovina"
"Botswana","1","176","39,620.00","103","Botswana"
"Brazil","528","11","64,616.00","71","Brazil"
"British Virgin Islands","33","93","62,461.00","78","British Virgin Islands"
"Brunei","7","145","112,769.00","46","Brunei"
"Bulgaria","77","60","51,683.00","86","Bulgaria"
"Burkina Faso","3","168","0","196","Burkina Faso"
"Burundi","0.08","189","1,675.00","186","Burundi"
"CAR","13","129","6,357.00","166","CAR"
"Cabo Verde","66","66","132,720.00","36","Cabo Verde"
"Cambodia","0","190","4,993.00","172","Cambodia"
"Cameroon","15","124","5,595.00","170","Cameroon"
"Canada","240","26","131,636.00","37","Canada"
"Caribbean Netherlands","0","190","16,149.00","136","Caribbean Netherlands"
"Cayman Islands","15","124","516,171.00","11","Cayman Islands"
"Chad","5","154","0","196","Chad"
"Channel Islands","276","23","396,276.00","12","Channel Islands"
"Chile","558","9","110,437.00","48","Chile"
"China","3","168","62,814.00","77","China"
"Colombia","318","20","46,606.00","91","Colombia"
"Comoros","8","140","0","196","Comoros"
"Congo","14","127","0","196","Congo"
"Costa Rica","65","68","24,769.00","121","Costa Rica"
"Croatia","41","85","35,235.00","107","Croatia"
"Cuba","8","140","30,589.00","115","Cuba"
"Curaçao","6","147","6,578.00","165","Curaçao"
"Cyprus","17","117","218,392.00","21","Cyprus"
"Czechia","38","87","76,565.00","64","Czechia"
"DRC","3","168","0","196","DRC"
"Denmark","107","50","358,091.00","14","Denmark"
"Diamond Princess","0","190","0","196","Diamond Princess"
"Djibouti","60","71","64,116.00","73","Djibouti"
"Dominica","0","190","22,858.00","126","Dominica"
"Dominican Republic","139","43","30,883.00","114","Dominican Republic"
"Ecuador","351","19","16,821.00","134","Ecuador"
"Egypt","51","77","1,316.00","189","Egypt"
"El Salvador","99","54","44,418.00","96","El Salvador"
"Equatorial Guinea","59","73","34,935.00","109","Equatorial Guinea"
"Eritrea","0","190","0","196","Eritrea"
"Estonia","47","82","104,146.00","51","Estonia"
"Eswatini","70","63","24,427.00","122","Eswatini"
"Ethiopia","5","154","6,018.00","168","Ethiopia"
"Faeroe Islands","0","190","1,642,742.00","2","Faeroe Islands"
"Falkland Islands","0","190","645,863.00","6","Falkland Islands"
"Fiji","1","176","7,459.00","160","Fiji"
"Finland","60","71","93,458.00","55","Finland"
"France","467","12","91,892.00","56","France"
"French Guiana","180","33","161,444.00","31","French Guiana"
"French Polynesia","0","190","35,257.00","106","French Polynesia"
"Gabon","24","103","46,771.00","90","Gabon"
"Gambia","33","93","4,445.00","174","Gambia"
"Georgia","4","161","79,021.00","61","Georgia"
"Germany","111","48","121,656.00","43","Germany"
